entrezgene,FDRPval_m1m2,FDRPval_m2m2a,FDRPval_m7m8,FDRPval_m8m8a,FDRPval_busted
772317,1,1,1,1,0.019981848850395712
422670,1,1,NA,NA,0
428738,1,1,1,0.774647035109966,0.041085681755620954
424248,1,1,8.05306233702919e-8,0.985432891813357,4.39145068192892e-9
423367,0.00117199648540632,2.11783292808352e-4,2.62367310137457e-13,1.27832672069011e-10,0
101751434,1,1,0.0250914285770147,1,0.006603676146049535
101747902,1,1,1.49758595204139e-4,0.996421167277128,0.014485540367727373
771873,0.00611305185537013,0.00122398704770379,0,2.94267467536104e-11,0
419947,0.0511673160399383,0.0122198082664809,6.76789436035244e-8,3.89098933252591e-6,0
101750600,4.84026177050562e-4,8.33976134164629e-5,0,1.58604271888374e-8,1
423284,1,1,1,1,1
770406,1,1,1,0.810444632391987,1
421606,1,1,3.02694660285725e-7,0.12443447236297,0
417981,0,0,0,0,2.643474689338396e-14
396524,0.0064412864510511,0.00129442789158951,8.13604067630193e-12,9.96496894320244e-4,1
100857598,1,1,0.00165507041227995,0.819429033201528,1
101749031,1,1,2.96731274499302e-12,0.0957638854896535,0
408047,1,1,1,1,0.5670656153770673
416689,1,1,0,1.34688423483842e-14,0
418062,1,1,0,1,5.934483352283807e-9
417504,1,1,0.00821094462198885,0.956809380430602,0.14007394210586896
100859302,1,1,1,0.903477885208033,0
425984,1,1,1.19357239770563e-7,0.0115494746331739,1
425994,1,1,1.38570273228576e-5,0.22722873961968,0.0044395317178042935
NA,1,1,3.87034395836665e-8,0.674510471068252,0
426457,1,1,2.66686776991502e-13,0.257324790871885,0
423333,1,1,3.55200340903615e-8,2.59664102480123e-4,0
421296,0,0,0,0,0
776306,4.09495694614646e-11,4.38074299058399e-12,0,0,0
101750533,1,1,1.89694671086121e-10,0.675926696940705,0.05975741536138021
420561,0.0196711447205622,0.00430199858892938,3.72687051116457e-10,3.46086317058273e-7,0.0013469891845970005
771601,1,1,1.24008193814885e-6,0.773737484995294,0
424266,0,0,0,0,0
423042,1,1,0.744861001997542,1,0.14634274834468783
418558,1,1,0.967382861312989,1,1
427625,1,1,0,0.206609648048851,0
100859028,0,0,0,0,0
418610,1,1,1,1,0.441873458718148
NA,1,1,1,1,1
418521,0.00227804790089812,4.27726925987394e-4,0,2.21126900827654e-9,0
428221,1,1,1,0.485189691434746,1.6155687003225688e-9
100859663,1,1,0.535636553171153,0.0704981701609666,0
422620,1,1,1,1,1
415977,1,1,0,0.0138256112574143,0
NA,1,1,3.2436806823964e-4,0.285955802399351,2.7432176546228036e-8
425504,1,1,3.27640117634795e-6,0.230436704199139,0.029432085958767975
100857589,1,1,1,0.6501538696287,1.2295713776562569e-6
424235,0.140139292775183,0.0374270318399789,3.60709225324849e-4,0.00107064195331932,0
421947,1,1,0,0.0347841770949973,0
418463,1,1,0.330164431981198,0.443935158646147,0.16517161255392354
417691,1,1,0.00369713892906049,1,0.001180313819815444
395792,1,1,0.243718686020029,0.680281606000795,7.167576522966888e-13
427177,0,0,0,0,0
417761,1,1,8.27837261539938e-12,8.77384766516103e-7,0
416700,1,1,0.0211253046157228,0.792358539309695,4.064491631606842e-5
428066,1,1,7.29886978474283e-8,0.0028277869899269,0.6497913272223461
100857332,1,1,2.15033051180635e-7,0.00392658216421108,5.5469240973800545e-11
422716,0,0,0,0,0
100859914,1,1,1,1,0.005295139370126202
421055,1,1,0.00338959346993748,0.379775470545402,0
422044,0,0,0,0,2.3457062626341216e-15
415698,1,1,1,0.723685952167883,1.1926556365118588e-5
427185,1,1,0.638538698171497,1,5.354141620158363e-11
421484,2.41164277011419e-8,2.96035938535749e-9,0,2.36198877315201e-10,0
417624,1,1,0.0454353479587314,0.281719298881971,2.231921158839991e-6
424719,4.51238300660621e-11,4.83762239888768e-12,0,0,2.263093396137573e-6
419640,1,1,0.00592137627722869,4.42552342736394e-6,1.2200821653794762e-8
101747489,1,1,2.76817248601106e-15,1,0
419345,1,1,3.12990166283674e-6,0.0213921046231587,3.537907928784877e-7
421052,1.73189064240896e-4,2.84175526456233e-5,0,2.52242218680143e-5,3.82392407784667e-9
422277,1,1,1,0.628368064167723,0.015504708268997188
428928,1,1,0,9.06374676082536e-8,0.0023638913149835903
427516,1,1,1,1,3.079785134292515e-4
417798,1,1,1,0.301461851423426,0.021196896645876956
420282,0.0029581980802402,1,0.633262251958306,1,1
424625,1,1,1,1,0
423003,1,1,1,0.515302072025617,1
420441,1,0.513992930384527,7.18323240040847e-16,0.0981096667362777,0
422751,1,1,1,1,1
423225,0,0,0,0,0
396242,0.003883013854348,7.54698353398369e-4,8.96875434249976e-12,1.01047537515361e-8,0.3225042535350585
421885,1,1,2.58660606202807e-4,0.0682256596272466,0.07904298416205244
395908,5.34489512698098e-10,6.01134498882339e-11,0,4.88694488975899e-10,0
419449,1,1,0,0.288753035452341,0
416671,1,1,8.62945342624281e-5,0.192974035008038,1
422017,1,1,1.67093442374678e-5,0.530293243020764,1
418785,0.00294844030632505,5.62309477302445e-4,0,8.50542975459065e-6,0.006478017439806377
100859006,1,1,0.0124086477026071,0.0107321135590033,0.1960703567249345
772135,1,1,1,1,0.6856516073722921
417137,1,1,0.358952632647396,1,7.447998975585035e-4
419050,1,1,0.0246988862215996,0.0375606612163552,0
426597,1,1,0.0534759961711402,0.693150827753814,0
425055,0.116994074906828,0.0305718222830564,7.18323240040847e-16,3.197315733226e-8,0.0253688307055146
417921,0,0,0,0,7.065221105409784e-5
NA,1,1,1,1,0.40237287531196414
421489,0.281119774161038,0.0827964368225658,1.64831612961669e-6,5.23999055441397e-4,1
427173,1,1,0.772249383795964,0.413315159493377,1
422394,0.957212593311397,0.361036737766983,3.84956776405643e-7,0.101635249370335,1.82490307310299e-5
395885,1,1,0.393284120480992,0.282932198120477,7.328687511070484e-4
396116,1,1,2.05785862201642e-6,1,3.2209397228015344e-4
101747278,1,1,0.0038645376303077,0.185432602072938,3.006723544051923e-7
395713,1,1,0.513276931587345,1,6.697057172436723e-7
417227,1,1,0.00570887457287913,0.63983209315163,0
395674,1,1,2.01783979950449e-6,0.928336360529262,0.11248289644564223
423973,1,1,1,1,2.39400538499538e-6
416515,1,1,1,NA,1.955807054405192e-4
770067,1,1,1,1,0.7736203510695853
101749064,1,1,1,0.963995306134379,1
425044,1,1,1,0.789594936080726,0.9800989389465707
420660,1,1,3.89946139375151e-9,0.707632414448914,0
423939,0,0,0,0,0
101748569,1,1,1,0.0269211832864558,0.004773264816019113
100857910,1,1,0.00780692877360414,1,9.692786126020538e-5
NA,1,1,0.00351809014993101,0.579012029238062,0
770750,1,1,0.261551156782349,1,0.0022316498985964156
417564,1,1,0.0592900945008502,0.519841011087833,0.09004628133623456
415852,1,0.956099791286635,9.83909803365452e-4,0.199755261446435,0.12057934357270697
428188,1,1,4.63006513253149e-7,0.151512594903573,1.0868158654614551e-10
428692,1,1,0.32950549252439,0.167273436931686,2.5095518417283765e-6
423493,1,1,0.37689127527329,1,1
426748,6.69624848818294e-4,1.17308656984135e-4,5.87185169865654e-5,4.26014971492701e-5,1.5190968508574525e-13
418593,1,1,0,3.61444254750315e-5,0
421681,1,1,1.40286913769967e-10,0.00168575142053807,1
416029,0.00181653530933785,3.36492463073029e-4,7.18323240040847e-16,1.86028736876895e-9,0.01485734503872879
100857319,1,1,1,0.883224867773527,0.12001107212885678
424046,1,1,1,1,0.047911057992781746
769679,1,1,0.0741884357981322,0.718536573644822,0.0017759850749014467
100858613,1,1,0.0315244971897329,0.225925683042434,2.99005240024192e-8
415460,0.501254508718482,0.163391175074405,2.113864394682e-4,0.00319489644450645,0.11907330042474995
100858546,1,1,0.180794522721779,0.615032863115615,0.002218832889276645
430669,1,1,1,0.596536360346062,0.019393102104827233
100859030,1,1,1,1,1
NA,1,1,1,1,0.0026832254728941657
419877,1,1,7.54951001128314e-9,0.769304385056783,1
428556,1,1,3.52055274076777e-7,0.63310009092302,0
100858820,1,1,4.93376670713344e-5,0.0851446824930734,0
101747528,1,1,0.0415704288355893,0.674809719793144,0.9767488750199405
416839,1,1,0,1.46515863551324e-4,1
427447,1,1,4.67028894862797e-8,0.27873813988103,0
423660,9.18928791598891e-6,1.34104514654366e-6,0,4.63408189709258e-15,0
395838,1,1,1,1,3.6054387953520927e-4
427606,1,1,0.0255260998704021,0.182555438739788,7.6928225391741735e-05
419474,1,1,1,1,1
100857281,1,1,1,0.396026750723092,0.04393994277986073
771715,4.14745322305047e-5,6.40463684487681e-6,0,3.85592060073606e-11,0
424984,0.0125431162481658,0.00264457638602119,0,3.30917829133863e-5,0.7301782176997995
424214,1,1,0,0.641880805204307,0
503512,1,1,1,0.90449916760249,0.7846458103805267
425499,1,1,0.84259856568131,0.147435315747267,1.3489892460528767e-4
395714,1,1,1,1,6.12773096933247e-13
417598,1,1,9.91233875859216e-13,1,2.647934093146476e-5
395315,1,1,1.98859420218604e-8,0.0660168041739725,0.22225924831950553
395593,2.283325584875e-4,3.79456685831219e-5,0,1.56297811249698e-5,7.203466948381338e-10
395357,0,0,0,0,4.5515415199352223e-7
417799,1,1,1.22412056837972e-6,0.140988377113202,0.1831750106277751
NA,1,1,1,0.895377132582505,0.09109566114187968
770517,0.555037901653138,0.184709809123589,0.00906877015924742,0.0079112243120246,7.911777920587687e-10
416440,1,1,0,1,0.009076336417962703
395488,0,0,0,0,0
769146,1,1,1,1,0.012542600766510217
395159,1,1,0.430970965452345,1,0.023219881374808137
423026,1,1,1.02538368592351e-9,0.413252289195699,7.160181801092e-5
415995,1,1,0.286599330138826,0.517601058939762,1
424787,1,1,1,1,0.9437262330916332
497223,1,1,5.76781856536212e-6,0.00666320502380251,2.185484711561031e-5
NA,1,0.810512038992242,0.130425356544004,0.210781700119329,0
768638,1,1,1,1,1
423421,1,1,0.0140014754778685,0.519714654304705,0.07663734934702665
419818,1,1,1,1,1
419304,1,1,8.71387539453714e-9,0.468235031853426,0
769981,1,1,1,1,1
395587,1,1,0.310459824270828,0.935551578645957,0.024965659602710463
418647,1,1,0.158000050708822,1,0.7412204598548175
427338,0.00132855849470638,2.41730217901899e-4,0,0,0.030532542284519838
427307,0.29710234498968,0.0883141817533891,3.33598890263739e-5,1.07952881915135e-4,1
427868,1,1,0.0063484517198554,0.914691481503812,0
100858422,4.62015667469049e-7,6.13094929599952e-8,0,9.85969926393314e-13,0.008670510938265558
NA,1,1,0.281789838332491,0.753333460401009,0.008490284192512916
395425,1,1,8.52046513779665e-9,1,1
776014,1,1,7.42646423834231e-4,0.0823607337508353,0.0015349160198678323
416540,1,1,1,1,0.28796570186399
374031,1,1,0,0.173867970992131,0.016324399599403745
100857512,1,1,1.32542171124615e-5,0.527605184581303,0.004560381504924926
423463,1,1,1.66181476976282e-13,0.526514552797329,1
396192,3.60886657744485e-15,0,0,0,3.450349733587591e-8
396101,1,1,1,1,0.048292322922665304
769912,1,1,1,1,0
NA,1,1,1,1,1
427355,0,0,0,0,0.006113936236287668
101747522,1,1,8.18981984769855e-4,0.032447012512003,0
100858122,1,1,0,0.0270689075810418,0
424333,1,1,0.00148733020863709,1,0.28974343433369837
419713,1,1,8.30426863853248e-6,0.223463833518637,1
395866,1,1,0.0310861290826475,0.658976586310743,1
395812,1,1,1,0.326963417319399,0.007999231857446273
427758,1,1,0,0.265886824395086,0
419305,1,1,1,1,2.0477871807568412e-4
395576,1,1,1,1,1
426941,1,1,1,0.937352056892597,0.9436412644525155
419382,1,1,3.80990009990929e-5,0.648703933177469,1
100858822,0.162966335604257,0.0443829854552369,2.11383843557222e-14,0.00301955389635647,0.0016404745910598758
772213,1,1,0.00724252507899648,0.151512594903573,2.6426357331153552e-8
NA,1,1,0.00185952812407856,0.00425529529307122,1
416956,1,1,6.91083853809592e-13,4.97923430578721e-5,0.0969707614841026
423101,0,0,0,0,0
425606,1,1,0.011000871527993,0.299026545991445,0.002796089498252252
424631,1,1,1,0.880110976147094,6.743583425431428e-11
100859443,1,1,1,1,0
421002,0.148827823044006,0.040041289484099,0,0.0176399469340061,2.2449105913410937e-6
415496,1,1,1,1,1
417772,0.152875845808088,0.041269303395787,4.37233925923754e-5,4.69180473400808e-4,1
